"{""richText"":[{""font"":{""bold"":true,""size"":8,""color"":{}},""text"":""Note: ""},{""font"":{""size"":8,""color"":{}},""text"":""The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ""}]}",,,,,,,,,,,,,,,,,,,,,,
"first_name","last_name","gender","past_3_years_bike_related_purchases","DOB","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation",,,,,,"Rank","Value"
"Chickie","Brister","Male","86","1957-07-12","General Manager","Manufacturing","Mass Customer","N","Yes","14","45 Shopko Center","4500","QLD","Australia","6","{""formula"":""RANDBETWEEN(40,110)/100"",""result"":0.56}","{""formula"":""Q3*(IF(J3=\""Yes\"",1.25,1))"",""result"":0.7000000000000001}","{""formula"":""R3*(IF(OR(VALUE(P3)>8,VALUE(D3)>80),1.25,1))"",""result"":0.8750000000000001}","{""formula"":""S3*(IF(H3=\""Mass Customer\"",0.85,1))"",""result"":0.74375}","{""formula"":""RANK(W3,W1:W1002,0)"",""result"":1}","1","1.71875"
"Morly","Genery","Male","69","1970-03-22","Structural Engineer","Property","Mass Customer","N","No","16","14 Mccormick Park","2113","NSW","Australia","11","{""formula"":"""",""result"":0.89}","{""formula"":""Q4*(IF(J4=\""Yes\"",1.25,1))"",""result"":0.89}","{""formula"":""R4*(IF(OR(VALUE(P4)>8,VALUE(D4)>80),1.25,1))"",""result"":1.1125}","{""formula"":""S4*(IF(H4=\""Mass Customer\"",0.85,1))"",""result"":0.945625}","{""formula"":""RANK(W4,W1:W1002,0)"",""result"":1}","1","1.71875"
"Ardelis","Forrester","Female","10","27269","Senior Cost Accountant","Financial Services","Affluent Customer","N","No","10","5 Colorado Crossing","3505","VIC","Australia","5","{""formula"":"""",""result"":1.01}","{""formula"":""Q5*(IF(J5=\""Yes\"",1.25,1))"",""result"":1.01}","{""formula"":""R5*(IF(OR(VALUE(P5)>8,VALUE(D5)>80),1.25,1))"",""result"":1.01}","{""formula"":""S5*(IF(H5=\""Mass Customer\"",0.85,1))"",""result"":1.01}","{""formula"":""RANK(W5,W1:W1002,0)"",""result"":1}","1","1.71875"
"Lucine","Stutt","Female","64","1979-01-28","Account Representative III","Manufacturing","Affluent Customer","N","Yes","5","207 Annamark Plaza","4814","QLD","Australia","1","{""formula"":"""",""result"":0.87}","{""formula"":""Q6*(IF(J6=\""Yes\"",1.25,1))"",""result"":1.0875}","{""formula"":""R6*(IF(OR(VALUE(P6)>8,VALUE(D6)>80),1.25,1))"",""result"":1.0875}","{""formula"":""S6*(IF(H6=\""Mass Customer\"",0.85,1))"",""result"":1.0875}","{""formula"":""RANK(W6,W1:W1002,0)"",""result"":4}","4","1.703125"
"Melinda","Hadlee","Female","34","1965-09-21","Financial Analyst","Financial Services","Affluent Customer","N","No","19","115 Montana Place","2093","NSW","Australia","9","{""formula"":"""",""result"":0.52}","{""formula"":""Q7*(IF(J7=\""Yes\"",1.25,1))"",""result"":0.52}","{""formula"":""R7*(IF(OR(VALUE(P7)>8,VALUE(D7)>80),1.25,1))"",""result"":0.65}","{""formula"":""S7*(IF(H7=\""Mass Customer\"",0.85,1))"",""result"":0.65}","{""formula"":""RANK(W7,W1:W1002,0)"",""result"":4}","4","1.703125"
"Druci","Brandli","Female","39","1951-04-29","Assistant Media Planner","Entertainment","High Net Worth","N","Yes","22","89105 Pearson Terrace","4075","QLD","Australia","7","{""formula"":"""",""result"":0.43}","{""formula"":""Q8*(IF(J8=\""Yes\"",1.25,1))"",""result"":0.5375}","{""formula"":""R8*(IF(OR(VALUE(P8)>8,VALUE(D8)>80),1.25,1))"",""result"":0.5375}","{""formula"":""S8*(IF(H8=\""Mass Customer\"",0.85,1))"",""result"":0.5375}","{""formula"":""RANK(W8,W1:W1002,0)"",""result"":6}","6","1.671875"
"Rutledge","Hallt","Male","23","1976-10-06","Compensation Analyst","Financial Services","Mass Customer","N","No","8","7 Nevada Crossing","2620","NSW","Australia","7","{""formula"":"""",""result"":0.4}","{""formula"":""Q9*(IF(J9=\""Yes\"",1.25,1))"",""result"":0.4}","{""formula"":""R9*(IF(OR(VALUE(P9)>8,VALUE(D9)>80),1.25,1))"",""result"":0.4}","{""formula"":""S9*(IF(H9=\""Mass Customer\"",0.85,1))"",""result"":0.34}","{""formula"":""RANK(W9,W1:W1002,0)"",""result"":6}","6","1.671875"
"Nancie","Vian","Female","74","1972-12-27","Human Resources Assistant II","Retail","Mass Customer","N","Yes","10","85 Carioca Point","4814","QLD","Australia","5","{""formula"":"""",""result"":0.58}","{""formula"":""Q10*(IF(J10=\""Yes\"",1.25,1))"",""result"":0.725}","{""formula"":""R10*(IF(OR(VALUE(P10)>8,VALUE(D10)>80),1.25,1))"",""result"":0.725}","{""formula"":""S10*(IF(H10=\""Mass Customer\"",0.85,1))"",""result"":0.61625}","{""formula"":""RANK(W10,W1:W1002,0)"",""result"":8}","8","1.65625"
"Duff","Karlowicz","Male","50","1972-04-28","Speech Pathologist","Manufacturing","Mass Customer","N","Yes","5","717 West Drive","2200","NSW","Australia","10","{""formula"":"""",""result"":1.03}","{""formula"":""Q11*(IF(J11=\""Yes\"",1.25,1))"",""result"":1.2875}","{""formula"":""R11*(IF(OR(VALUE(P11)>8,VALUE(D11)>80),1.25,1))"",""result"":1.609375}","{""formula"":""S11*(IF(H11=\""Mass Customer\"",0.85,1))"",""result"":1.36796875}","{""formula"":""RANK(W11,W1:W1002,0)"",""result"":8}","8","1.65625"
"Barthel","Docket","Male","72","1985-08-02","Accounting Assistant IV","IT","Mass Customer","N","Yes","17","80 Scofield Junction","4151","QLD","Australia","5","{""formula"":"""",""result"":0.84}","{""formula"":""Q12*(IF(J12=\""Yes\"",1.25,1))"",""result"":1.05}","{""formula"":""R12*(IF(OR(VALUE(P12)>8,VALUE(D12)>80),1.25,1))"",""result"":1.05}","{""formula"":""S12*(IF(H12=\""Mass Customer\"",0.85,1))"",""result"":0.8925}","{""formula"":""RANK(W12,W1:W1002,0)"",""result"":10}","10","1.640625"
